id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
13	euler (2021)	"<table><tr><td>Authors:</td><td>euler, harald a.; merkel, anna; hente, katja; neef, nicole; von gudenberg, alexander wolff; neumann, katrin</td></tr><tr><td>Title:</td><td>speech restructuring group treatment for 6-to-9-year-old children who stutter: a therapeutic trial</td></tr><tr><td>Source:</td><td>journal of communication disorders, 89</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1016/j.jcomdis.2020.106073	-1.081	-0.0457	3	1	5	0.1942	2021	5	0.1942
14	gong (2007)	"<table><tr><td>Authors:</td><td>gong, li; nass, clifford</td></tr><tr><td>Title:</td><td>when a talking-face computer agent is half-human and half-humanoid: human identity and consistency preference</td></tr><tr><td>Source:</td><td>human communication research, 33(2), 163-193</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1111/j.1468-2958.2007.00295.x	0.587	0.3233	4	6	81	1	2007	81	1
15	goy (2016)	"<table><tr><td>Authors:</td><td>goy, huiwen; pichora-fuller, m. kathleen; van lieshout, pascal</td></tr><tr><td>Title:</td><td>effects of age on speech and voice quality ratings</td></tr><tr><td>Source:</td><td>journal of the acoustical society of america, 139(4), 1648-1659</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1121/1.4945094	0.1564	0.5378	1	1	21	0.4315	2016	21	0.4315
16	hardy (2020)	"<table><tr><td>Authors:</td><td>hardy, teresa l. d.; rieger, jana m.; wells, kristopher; boliek, carol a.</td></tr><tr><td>Title:</td><td>acoustic predictors of gender attribution, masculinity -femininity, and vocal naturalness ratings amongst transgender and cisgender speakers</td></tr><tr><td>Source:</td><td>journal of voice, 34(2)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.jvoice.2018.10.002	-0.7088	0.0637	3	3	23	1.0575	2020	23	1.0575
17	higgins (2022)	"<table><tr><td>Authors:</td><td>higgins, darragh; zibrek, katja; cabral, joao; egan, donal; mcdonnell, rachel</td></tr><tr><td>Title:</td><td>sympathy for the digital: influence of synthetic voice on affinity, social presence and empathy for photorealistic virtual humans</td></tr><tr><td>Source:</td><td>computers & graphics-uk, 104, 116-128</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1016/j.cag.2022.03.009	0.4874	0.3341	4	6	20	2.5806	2022	20	2.5806
18	hu (2021)	"<table><tr><td>Authors:</td><td>hu, peng; lu, yaobin; gong, yeming (yale)</td></tr><tr><td>Title:</td><td>dual humanness and trust in conversational ai: a person-centered approach</td></tr><tr><td>Source:</td><td>computers in human behavior, 119</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1016/j.chb.2021.106727	0.9264	-0.0044	2	1	33	1.2816	2021	33	1.2816
19	hyppa-martin (2024)	"<table><tr><td>Authors:</td><td>hyppa-martin, jolene; lilley, jason; chen, mo; friese, jaclyn; schmidt, corinne; bunnell, h. timothy</td></tr><tr><td>Title:</td><td>a large-scale comparison of two voice synthesis techniques on intelligibility, naturalness, preferences, and attitudes toward voices banked by individuals with amyotrophic lateral sclerosis</td></tr><tr><td>Source:</td><td>augmentative and alternative communication, 40(1), 31-45</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1080/07434618.2023.2262032	-0.058	0.2654	1	4	0	0	2024	0	0
20	ilves (2013)	"<table><tr><td>Authors:</td><td>ilves, mirja; surakka, veikko</td></tr><tr><td>Title:</td><td>subjective responses to synthesised speech with lexical emotional content: the effect of the naturalness of the synthetic voice</td></tr><tr><td>Source:</td><td>behaviour & information technology, 32(2), 117-131</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1080/0144929x.2012.702285	0.1872	0.1119	2	3	8	0.1404	2013	8	0.1404
21	im (2023)	"<table><tr><td>Authors:</td><td>im, hyunjoo; sung, billy; lee, garim; kok, keegan qi xian</td></tr><tr><td>Title:</td><td>let voice assistants sound like a machine: voice and task type effects on perceived fluency, competence, and consumer attitude</td></tr><tr><td>Source:</td><td>computers in human behavior, 145</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chb.2023.107791	0.2068	0.2226	2	6	8	1.9394	2023	8	1.9394
22	jones (2019)	"<table><tr><td>Authors:</td><td>jones, harrison n.; crisp, kelly d.; kuchibhatla, maragatha; mahler, leslie; risoli, thomas, jr.; jones, carlee w.; kishnani, priya</td></tr><tr><td>Title:</td><td>auditory-perceptual speech features in children with down syndrome</td></tr><tr><td>Source:</td><td>ajidd-american journal on intellectual and developmental disabilities, 124(4), 324-338</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1352/1944-7558-124.4.324	-0.9819	-0.3321	5	2	12	0.4255	2019	12	0.4255
23	kapolowicz (2022)	"<table><tr><td>Authors:</td><td>kapolowicz, michelle r.; guest, daniel r.; montazeri, vahid; baese-berk, melissa m.; assmann, peter f.</td></tr><tr><td>Title:</td><td>effects of spectral envelope and fundamental frequency shifts on the perception of foreign-accented speech</td></tr><tr><td>Source:</td><td>language and speech, 65(2), 418-443</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1177/00238309211029679	-1.108	0.1546	3	2	1	0.129	2022	1	0.129
24	klopfenstein (2020)	"<table><tr><td>Authors:</td><td>klopfenstein, marie; bernard, kelsey; heyman, claire</td></tr><tr><td>Title:</td><td>the study of speech naturalness in communication disorders: a systematic review of the literature</td></tr><tr><td>Source:</td><td>clinical linguistics & phonetics, 34(4), 327-338</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/02699206.2019.1652692	-0.9244	-0.2283	5	11	12	0.5517	2020	12	0.5517
25	klopfenstein (2015)	"<table><tr><td>Authors:</td><td>klopfenstein, marie</td></tr><tr><td>Title:</td><td>relationship between acoustic measures and speech naturalness ratings in parkinson's disease: a within-speaker approach</td></tr><tr><td>Source:</td><td>clinical linguistics & phonetics, 29(12), 938-954</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.3109/02699206.2015.1081293	-0.9923	-0.1362	3	3	9	0.3273	2015	9	0.3273
26	ko (2023)	"<table><tr><td>Authors:</td><td>ko, sangjin; barnes, jaclyn; dong, jiayuan; park, chung hyuk; howard, ayanna; jeon, myounghoon</td></tr><tr><td>Title:</td><td>the effects of robot voices and appearances on users' emotion recognition and subjective perception</td></tr><tr><td>Source:</td><td>international journal of humanoid robotics, 20(01)</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1142/s0219843623500019	0.9031	-0.7783	6	1	3	0.7273	2023	3	0.7273
27	kuehne (2020)	"<table><tr><td>Authors:</td><td>kuehne, katharina; fischer, martin h.; zhou, yuefang</td></tr><tr><td>Title:</td><td>the human takes it all: humanlike synthesized voices are perceived as less eerie and more likable. evidence from a subjective ratings study</td></tr><tr><td>Source:</td><td>frontiers in neurorobotics, 14</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3389/fnbot.2020.593732	0.2038	0.45	1	16	40	1.8391	2020	40	1.8391
28	lee (2010)	"<table><tr><td>Authors:</td><td>lee, eun-ju</td></tr><tr><td>Title:</td><td>the more humanlike, the better? how speech type and users' cognitive style affect social responses to computers</td></tr><tr><td>Source:</td><td>computers in human behavior, 26(4), 665-672</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.chb.2010.01.003	0.7017	0.3813	4	3	50	1	2010	50	1
29	lehner (2022)	"<table><tr><td>Authors:</td><td>lehner, katharina; ziegler, wolfram</td></tr><tr><td>Title:</td><td>clinical measures of communication limitations in dysarthria assessed through crowdsourcing: specificity, sensitivity, and retest-reliability</td></tr><tr><td>Source:</td><td>clinical linguistics & phonetics, 36(11), 988-1009</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1080/02699206.2021.1979658	-1.0449	-0.2871	5	2	6	0.7742	2022	6	0.7742
30	li (2023)	"<table><tr><td>Authors:</td><td>li, mingming; guo, fu; wang, xueshuang; chen, jiahao; ham, jaap</td></tr><tr><td>Title:</td><td>effects of robot gaze and voice human-likeness on users' subjective perception, visual attention, and cerebral activity in voice conversations</td></tr><tr><td>Source:</td><td>computers in human behavior, 141</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chb.2022.107645	0.5145	0.4778	4	6	11	2.6667	2023	11	2.6667
31	lu (2021)	"<table><tr><td>Authors:</td><td>lu, lu; zhang, pei; zhang, tingting (christina)</td></tr><tr><td>Title:</td><td>leveraging ""<i>human</i>-<i>likeness</i>"" of robotic service at restaurants</td></tr><tr><td>Source:</td><td>international journal of hospitality management, 94</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1016/j.ijhm.2020.102823	0.9371	0.0298	2	1	90	3.4951	2021	90	3.4951
32	mackey (1997)	"<table><tr><td>Authors:</td><td>mackey, ls; finn, p; ingham, rj</td></tr><tr><td>Title:</td><td>effect of speech dialect on speech naturalness ratings: a systematic replication of martin, haroldson, and triden (1984)</td></tr><tr><td>Source:</td><td>journal of speech language and hearing research, 40(2), 349-360</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1044/jslhr.4002.349	-1.0146	0.089	3	4	20	1	1997	20	1
33	martin (1984)	"<table><tr><td>Authors:</td><td>martin, rr; haroldson, sk; triden, ka</td></tr><tr><td>Title:</td><td>stuttering and speech naturalness</td></tr><tr><td>Source:</td><td>journal of speech and hearing disorders, 49(1), 53-58</td></tr><tr><td>Year:</td><td>1984</td></tr></table>"	https://doi.org/10.1044/jshd.4901.53	-1.0057	-0.067	3	9	172	1	1984	172	1
35	mayo (2011)	"<table><tr><td>Authors:</td><td>mayo, catherine; clark, robert a. j.; king, simon</td></tr><tr><td>Title:</td><td>listeners' weighting of acoustic cues to synthetic speech naturalness: a multidimensional scaling analysis</td></tr><tr><td>Source:</td><td>speech communication, 53(3), 311-326</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1016/j.specom.2010.10.003	-0.1598	0.2296	1	3	20	0.2537	2011	20	0.2537
36	meltzner (2005)	"<table><tr><td>Authors:</td><td>meltzner, gs; hillman, re</td></tr><tr><td>Title:</td><td>impact of aberrant acoustic properties on the perception of sound quality in electrolarynx speech</td></tr><tr><td>Source:</td><td>journal of speech language and hearing research, 48(4), 766-779</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1044/1092-4388(2005/053)	-0.7341	-0.2921	5	3	44	1.76	2005	44	1.76
37	merritt (2020)	"<table><tr><td>Authors:</td><td>merritt, brandon; bent, tessa</td></tr><tr><td>Title:</td><td>perceptual evaluation of speech naturalness in speakers of varying gender identities</td></tr><tr><td>Source:</td><td>journal of speech language and hearing research, 63(7), 2054-2069</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1044/2020_jslhr-19-00337	-0.8958	-0.0468	3	6	7	0.3218	2020	7	0.3218
38	mitchell (2011)	"<table><tr><td>Authors:</td><td>mitchell, wade j.; szerszen, kevin a., sr.; lu, amy shirong; schermerhorn, paul w.; scheutz, matthias; macdorman, karl f.</td></tr><tr><td>Title:</td><td>a mismatch in the human realism of face and voice produces an uncanny valley</td></tr><tr><td>Source:</td><td>i-perception, 2(1), 10-12</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1068/i0415	0.5685	0.1729	2	12	140	1.7759	2011	140	1.7759
40	moya-gale (2024)	"<table><tr><td>Authors:</td><td>moya-gale, gemma; pagano, george; walsh, stephen j.</td></tr><tr><td>Title:</td><td>perceptual consequences of online group speech treatment for individuals with parkinson's disease: a pilot study case series</td></tr><tr><td>Source:</td><td>international journal of speech-language pathology</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1080/17549507.2024.2330538	-0.9262	-0.3218	5	2	0	0	2024	0	0
41	nussbaum (2023)	"<table><tr><td>Authors:</td><td>nussbaum, christine; poehlmann, manuel; kreysa, helene; schweinberger, stefan r.</td></tr><tr><td>Title:</td><td>perceived naturalness of emotional voice morphs</td></tr><tr><td>Source:</td><td>cognition & emotion, 37(4), 731-747</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1080/02699931.2023.2200920	-0.3129	-0.0691	1	17	2	0.4848	2023	2	0.4848
42	parmar (2022)	"<table><tr><td>Authors:</td><td>parmar, dhaval; olafsson, stefan; utami, dina; murali, prasanth; bickmore, timothy</td></tr><tr><td>Title:</td><td>designing empathic virtual agents: manipulating animation, voice, rendering, and empathy to create persuasive agents</td></tr><tr><td>Source:</td><td>autonomous agents and multi-agent systems, 36(1)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1007/s10458-021-09539-1	0.6292	0.1336	2	1	10	1.2903	2022	10	1.2903
44	rodero (2023)	"<table><tr><td>Authors:</td><td>rodero, emma; lucas, ignacio</td></tr><tr><td>Title:</td><td>synthetic versus human voices in audiobooks: the human emotional intimacy effect</td></tr><tr><td>Source:</td><td>new media & society, 25(7), 1746-1764</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1177/14614448211024142	-0.3095	0.2404	1	2	8	1.9394	2023	8	1.9394
45	rodero (2017)	"<table><tr><td>Authors:</td><td>rodero, emma</td></tr><tr><td>Title:</td><td>effectiveness, attention, and recall of human and artificial voices in an advertising story. prosody influence and functions of voices</td></tr><tr><td>Source:</td><td>computers in human behavior, 77, 336-346</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.chb.2017.08.044	-0.2117	0.2444	1	4	8	0.2133	2017	8	0.2133
46	sarigul (2023)	"<table><tr><td>Authors:</td><td>sarigul, busra; urgen, burcu a.</td></tr><tr><td>Title:</td><td>audio-visual predictive processing in the perception of humans and robots</td></tr><tr><td>Source:</td><td>international journal of social robotics, 15(5), 855-865</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1007/s12369-023-00990-6	0.7106	0.3336	4	4	0	0	2023	0	0
47	schoelderle (2023)	"<table><tr><td>Authors:</td><td>schoelderle, theresa; haas, elisabet; ziegler, wolfram</td></tr><tr><td>Title:</td><td>speech naturalness in the assessment of childhood dysarthria</td></tr><tr><td>Source:</td><td>american journal of speech-language pathology, 32(4), 1633-1643</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1044/2023_ajslp-23-00023	-0.9922	-0.2682	5	6	1	0.2424	2023	1	0.2424
48	schreibelmayr (2022)	"<table><tr><td>Authors:</td><td>schreibelmayr, simon; mara, martina</td></tr><tr><td>Title:</td><td>robot voices in daily life: vocal human-likeness and application context as determinants of user acceptance</td></tr><tr><td>Source:</td><td>frontiers in psychology, 13</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3389/fpsyg.2022.787499	0.3568	0.25	2	9	10	1.2903	2022	10	1.2903
49	seaborn (2021)	"<table><tr><td>Authors:</td><td>seaborn, katie; miyake, norihisa p.; pennefather, peter; otake-matsuura, mihoko</td></tr><tr><td>Title:</td><td>voice in human-agent interaction: a survey</td></tr><tr><td>Source:</td><td>acm computing surveys, 54(4)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1145/3386867	0.6645	0.2133	4	8	59	2.2913	2021	59	2.2913
50	tamagawa (2011)	"<table><tr><td>Authors:</td><td>tamagawa, rie; watson, catherine i.; kuo, i. han; macdonald, bruce a.; broadbent, elizabeth</td></tr><tr><td>Title:</td><td>the effects of synthesized voice accents on user perceptions of robots</td></tr><tr><td>Source:</td><td>international journal of social robotics, 3(3), 253-262</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1007/s12369-011-0100-4	0.8905	0.0229	2	5	62	0.7865	2011	62	0.7865
54	yamasaki (2017)	"<table><tr><td>Authors:</td><td>yamasaki, rosiane; montagnoli, arlindo; murano, emi z.; gebrim, eloisa; hachiya, adriana; lopes da silva, jorge vicente; behlau, mara; tsuji, domingos</td></tr><tr><td>Title:</td><td>perturbation measurements on the degree of naturalness of synthesized vowels</td></tr><tr><td>Source:</td><td>journal of voice, 31(3)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.jvoice.2016.09.020	-0.1704	0.0838	1	2	3	0.08	2017	3	0.08
55	yorkston (1990)	"<table><tr><td>Authors:</td><td>yorkston, km; hammen, vl; beukelman, dr; traynor, cd</td></tr><tr><td>Title:</td><td>the effect of rate control on the intelligibility and naturalness of dysarthric speech</td></tr><tr><td>Source:</td><td>journal of speech and hearing disorders, 55(3), 550-560</td></tr><tr><td>Year:</td><td>1990</td></tr></table>"	https://doi.org/10.1044/jshd.5503.550	-0.8581	-0.3543	5	4	108	1	1990	108	1
56	assmann (2006)	"<table><tr><td>Authors:</td><td>assmann, peter f; dembling, sophie; nearey, terrance m</td></tr><tr><td>Title:</td><td>investigating the uncanny valley effect for prosody</td></tr><tr><td>Source:</td><td>interspeech 2006 and 9th international conference on spoken language processing, 1-5(19), 889-892</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.21437/interspeech.2006-297	-1.1263	0.1672	3	1	0	1	2006	0	1
57	baird (2017)	"<table><tr><td>Authors:</td><td>baird, alice; joergensen, stina hasse; parada-cabaleiro, emilia; hantke, simone; cummins, nicholas; schuller, bjoern</td></tr><tr><td>Title:</td><td>perception of paralinguistic traits in synthesized voices</td></tr><tr><td>Source:</td><td>proceedings of am ’17, london, united kingdom, 999(12), 23-26</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1145/3123514.3123528	0.5807	0.0405	2	3	0	0	2017	0	0
58	baird (2018b)	"<table><tr><td>Authors:</td><td>baird, alice; parada-cabaleiro, emilia; hantke, simone; burkhardt, felix; cummins, nicholas; schuller, bjoern</td></tr><tr><td>Title:</td><td>the perception and analysis of the likeability and human likeness of synthesized speech</td></tr><tr><td>Source:</td><td>interspeech 2018, 2863-2867</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.21437/interspeech.2018-1093	0.2835	0.2049	2	13	0	0	2018	0	0
59	cabral (2017)	"<table><tr><td>Authors:</td><td>cabral, joão paulo; cowan, benjamin r; zibrek, katja; mcdonnell, rachel</td></tr><tr><td>Title:</td><td>the influence of synthetic voice on the evaluation of a virtual character</td></tr><tr><td>Source:</td><td>interspeech 2017, 999(2308-457x), 229-233</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.21437/interspeech.2017-325	0.5527	0.3849	4	9	0	0	2017	0	0
60	diel (2024)	"<table><tr><td>Authors:</td><td>diel, alexander; lewis, michael</td></tr><tr><td>Title:</td><td>the vocal uncanny valley: deviation from typical organic voices best explains uncanniness.</td></tr><tr><td>Source:</td><td>computers in human behavior reports, 14, 1-15</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1016/j.chbr.2024.100430	0.4227	0.1377	2	6	0	0	2024	0	0
61	ehret (2021)	"<table><tr><td>Authors:</td><td>ehret, jonathan; bönsch, andrea; aspöck, lukas; röhr, christine t; baumann, stefan; grice, martine; fels, janina; kuhlen, thorsten w</td></tr><tr><td>Title:</td><td>do prosody and embodiment influence the perceived naturalness of conversational agents’ speech?</td></tr><tr><td>Source:</td><td>acm trans. appl. percept., 18(4), 1-15</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1145/3486580	0.5581	0.302	4	3	0	0	2021	0	0
62	eyssel (2012)	"<table><tr><td>Authors:</td><td>eyssel, friederike; kuchenbrandt, dieta; bobinger, simon; de ruiter, laura; hegel, frank</td></tr><tr><td>Title:</td><td>'if you sound like me, you must be more human’: on the interplay of robot and user features on human-robot acceptance and anthropomorphism</td></tr><tr><td>Source:</td><td>hri '12: proceedings of the seventh annual acm/ieee international conference on human-robot interaction, 7, 125-126</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1145/2157689.2157717	0.5352	0.5305	4	1	0	1	2012	0	1
63	ferstl (2021)	"<table><tr><td>Authors:</td><td>ferstl, ylva; thomas, sean; guiard, cédric; ennis, cathy; mcdonnell, rachel</td></tr><tr><td>Title:</td><td>human or robot?: investigating voice, appearance and gesture motion realism of conversational social agents</td></tr><tr><td>Source:</td><td>iva '21: proceedings of the 21st acm international conference on intelligent virtual agents, 21, 76-83</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1145/3472306.3478338	0.4173	0.3885	4	4	0	0	2021	0	0
65	klopfenstein (2016)	"<table><tr><td>Authors:</td><td>klopfenstein, marie</td></tr><tr><td>Title:</td><td>speech naturalness ratings and perceptual correlates of highly natural and unnatural speech in hypokinetic dysarthria secondary to parkinson’s disease</td></tr><tr><td>Source:</td><td>journal of interactional research in communication disorders, 7(1), 123-146</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1558/jircd.v7i1.27932	-1.0581	-0.1494	3	2	0	0	2016	0	0
67	mcginn (2019)	"<table><tr><td>Authors:</td><td>mcginn, conor; torre, ilaria</td></tr><tr><td>Title:</td><td>can you tell the robot by the voice? an exploratory study on the role of voice in the perception of robots</td></tr><tr><td>Source:</td><td>14th acm/ieee international conference on human-robot interaction (hri), 14, 211-221</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/hri.2019.8673279	0.8257	0.0632	2	2	0	0	2019	0	0
68	nusbaum (1995)	"<table><tr><td>Authors:</td><td>nusbaum, howard c; francis, alexander l; henly, anne s</td></tr><tr><td>Title:</td><td>measuring the naturalness of synthetic speech</td></tr><tr><td>Source:</td><td>international journal of speech technology,, 1, 7-19</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	https://doi.org/10.1007/bf02277176	-0.1126	0.1589	1	5	0	1	1995	0	1
